scenario_id,event_id,timestamp,account,priority,recommended_owner,attack_technique_ids,message
BASELINE-SUCCESS-0000,4624,13/06/2026 09:00:00,testuser6,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0001,4624,13/06/2026 09:00:11,testuser16,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0002,4624,13/06/2026 09:00:42,testuser20,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0003,4624,13/06/2026 09:01:22,testuser2,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0004,4624,13/06/2026 09:01:47,testuser20,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0005,4624,13/06/2026 09:02:05,testuser11,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0006,4624,13/06/2026 09:02:14,testuser6,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0007,4624,13/06/2026 09:02:19,testuser8,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0008,4624,13/06/2026 09:02:38,testuser17,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0009,4624,13/06/2026 09:03:11,testuser13,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0010,4624,13/06/2026 09:03:41,testuser4,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0011,4624,13/06/2026 09:03:48,testuser9,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0012,4624,13/06/2026 09:04:13,testuser15,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0013,4624,13/06/2026 09:04:30,testuser18,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0014,4624,13/06/2026 09:04:49,testuser16,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0015,4624,13/06/2026 09:05:25,testuser6,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0016,4624,13/06/2026 09:06:04,testuser9,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0017,4624,13/06/2026 09:06:28,testuser18,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0018,4624,13/06/2026 09:07:02,testuser2,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0019,4624,13/06/2026 09:07:24,testuser6,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0020,4624,13/06/2026 09:08:08,testuser3,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0021,4624,13/06/2026 09:08:44,testuser16,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0022,4624,13/06/2026 09:09:03,testuser16,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0023,4624,13/06/2026 09:09:45,testuser16,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0024,4624,13/06/2026 09:10:23,testuser8,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0025,4624,13/06/2026 09:10:56,testuser2,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0026,4624,13/06/2026 09:11:39,testuser13,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0027,4624,13/06/2026 09:11:45,testuser7,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0028,4624,13/06/2026 09:12:09,testuser9,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0029,4624,13/06/2026 09:12:31,testuser9,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0030,4624,13/06/2026 09:12:54,testuser5,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0031,4624,13/06/2026 09:12:59,testuser16,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0032,4624,13/06/2026 09:13:14,testuser15,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0033,4624,13/06/2026 09:13:25,testuser1,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0034,4624,13/06/2026 09:13:42,testuser4,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0035,4624,13/06/2026 09:13:56,testuser4,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0036,4624,13/06/2026 09:14:04,testuser17,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0037,4624,13/06/2026 09:14:32,testuser9,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0038,4624,13/06/2026 09:15:12,testuser18,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0039,4624,13/06/2026 09:15:27,testuser2,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0040,4624,13/06/2026 09:15:48,testuser14,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0041,4624,13/06/2026 09:16:22,testuser20,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0042,4624,13/06/2026 09:16:28,testuser14,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0043,4624,13/06/2026 09:16:59,testuser9,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0044,4624,13/06/2026 09:17:27,testuser8,P4,Infrastructure / Operations,,An account was successfully logged on.
BASELINE-SUCCESS-0045,4624,13/06/2026 09:18:12,testuser5,P4,Infrastructure / Operations,,An account was successfully logged on.
